PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare
78,0,3,0,30,0,0,8
79,1,2,0,0,0,2,29
80,1,3,1,30,0,0,12
81,0,3,0,22,0,0,9
82,1,3,0,29,0,0,9
83,1,3,1,30,0,0,7
84,0,1,0,28,0,0,47
85,1,2,1,17,0,0,10
86,1,3,1,33,3,0,15
87,0,3,0,16,1,3,34
88,0,3,0,30,0,0,8
89,1,1,1,23,3,2,263
90,0,3,0,24,0,0,8
91,0,3,0,29,0,0,8
92,0,3,0,20,0,0,7
93,0,1,0,46,1,0,61
94,0,3,0,26,1,2,20
95,0,3,0,59,0,0,7
96,0,3,0,30,0,0,8
97,0,1,0,71,0,0,34
98,1,1,0,23,0,1,63
99,1,2,1,34,0,1,23
100,0,2,0,34,1,0,26
101,0,3,1,28,0,0,7
102,0,3,0,30,0,0,7
103,0,1,0,21,0,1,77
104,0,3,0,33,0,0,8
105,0,3,0,37,2,0,7
106,0,3,0,28,0,0,7
107,1,3,1,21,0,0,7
108,1,3,0,30,0,0,7
109,0,3,0,38,0,0,7
110,1,3,1,30,1,0,24
111,0,1,0,47,0,0,52
112,0,3,1,14,1,0,14
113,0,3,0,22,0,0,8
114,0,3,1,20,1,0,9
115,0,3,1,17,0,0,14
116,0,3,0,21,0,0,7
117,0,3,0,70,0,0,7
118,0,2,0,29,1,0,21
119,0,1,0,24,0,1,247
120,0,3,1,2,4,2,31
121,0,2,0,21,2,0,73
122,0,3,0,30,0,0,8
123,0,2,0,32,1,0,30
124,1,2,1,32,0,0,13
125,0,1,0,54,0,1,77
126,1,3,0,12,1,0,11
127,0,3,0,30,0,0,7
128,1,3,0,24,0,0,7
129,1,3,1,30,1,1,22
130,0,3,0,45,0,0,6
131,0,3,0,33,0,0,7
132,0,3,0,20,0,0,7
133,0,3,1,47,1,0,14
134,1,2,1,29,1,0,26
135,0,2,0,25,0,0,13
136,0,2,0,23,0,0,15
137,1,1,1,19,0,2,26
138,0,1,0,37,1,0,53
139,0,3,0,16,0,0,9
140,0,1,0,24,0,0,79
141,0,3,1,30,0,2,15
142,1,3,1,22,0,0,7
143,1,3,1,24,1,0,15
144,0,3,0,19,0,0,6
145,0,2,0,18,0,0,11
146,0,2,0,19,1,1,36
147,1,3,0,27,0,0,7
148,0,3,1,9,2,2,34
149,0,2,0,36,0,2,26
150,0,2,0,42,0,0,13
151,0,2,0,51,0,0,12
152,1,1,1,22,1,0,66
153,0,3,0,55,0,0,8
154,0,3,0,40,0,2,14
155,0,3,0,30,0,0,7
156,0,1,0,51,0,1,61
157,1,3,1,16,0,0,7
158,0,3,0,30,0,0,8
159,0,3,0,30,0,0,8
160,0,3,0,30,8,2,69
161,0,3,0,44,0,1,16
162,1,2,1,40,0,0,15
163,0,3,0,26,0,0,7
164,0,3,0,17,0,0,8
165,0,3,0,1,4,1,39
166,1,3,0,9,0,2,20
167,1,1,1,30,0,1,55
168,0,3,1,45,1,4,27
169,0,1,0,30,0,0,25
170,0,3,0,28,0,0,56
171,0,1,0,61,0,0,33
172,0,3,0,4,4,1,29
173,1,3,1,1,1,1,11
174,0,3,0,21,0,0,7
175,0,1,0,56,0,0,30
176,0,3,0,18,1,1,7
177,0,3,0,30,3,1,25
178,0,1,1,50,0,0,28
179,0,2,0,30,0,0,13
180,0,3,0,36,0,0,0
181,0,3,1,30,8,2,69
182,0,2,0,30,0,0,15
183,0,3,0,9,4,2,31
184,1,2,0,1,2,1,39
185,1,3,1,4,0,2,22
186,0,1,0,30,0,0,50
187,1,3,1,30,1,0,15
188,1,1,0,45,0,0,26
189,0,3,0,40,1,1,15
190,0,3,0,36,0,0,7
191,1,2,1,32,0,0,13
192,0,2,0,19,0,0,13
193,1,3,1,19,1,0,7
194,1,2,0,3,1,1,26
195,1,1,1,44,0,0,27
196,1,1,1,58,0,0,146
197,0,3,0,30,0,0,7
198,0,3,0,42,0,1,8
199,1,3,1,30,0,0,7
200,0,2,1,24,0,0,13
201,0,3,0,28,0,0,9
202,0,3,0,30,8,2,69
203,0,3,0,34,0,0,6
204,0,3,0,45,0,0,7
205,1,3,0,18,0,0,8
206,0,3,1,2,0,1,10
207,0,3,0,32,1,0,15
208,1,3,0,26,0,0,18
209,1,3,1,16,0,0,7
210,1,1,0,40,0,0,31
211,0,3,0,24,0,0,7
212,1,2,1,35,0,0,21
213,0,3,0,22,0,0,7
214,0,2,0,30,0,0,13
215,0,3,0,30,1,0,7
216,1,1,1,31,1,0,113
217,1,3,1,27,0,0,7
218,0,2,0,42,1,0,27
219,1,1,1,32,0,0,76
220,0,2,0,30,0,0,10
221,1,3,0,16,0,0,8
222,0,2,0,27,0,0,13
223,0,3,0,51,0,0,8
224,0,3,0,30,0,0,7
225,1,1,0,38,1,0,90
226,0,3,0,22,0,0,9
227,1,2,0,19,0,0,10
228,0,3,0,20,0,0,7
229,0,2,0,18,0,0,13
230,0,3,1,30,3,1,25
231,1,1,1,35,1,0,83
232,0,3,0,29,0,0,7
233,0,2,0,59,0,0,13
234,1,3,1,5,4,2,31
235,0,2,0,24,0,0,10
236,0,3,1,30,0,0,7
237,0,2,0,44,1,0,26
238,1,2,1,8,0,2,26
239,0,2,0,19,0,0,10
240,0,2,0,33,0,0,12
241,0,3,1,30,1,0,14
242,1,3,1,30,1,0,15
243,0,2,0,29,0,0,10
244,0,3,0,22,0,0,7
245,0,3,0,30,0,0,7
246,0,1,0,44,2,0,90
247,0,3,1,25,0,0,7
248,1,2,1,24,0,2,14
249,1,1,0,37,1,1,52
250,0,2,0,54,1,0,26
251,0,3,0,30,0,0,7
252,0,3,1,29,1,1,10
253,0,1,0,62,0,0,26
254,0,3,0,30,1,0,16
255,0,3,1,41,0,2,20
256,1,3,1,29,0,2,15
257,1,1,1,30,0,0,79
258,1,1,1,30,0,0,86
259,1,1,1,35,0,0,512
260,1,2,1,50,0,1,26
261,0,3,0,30,0,0,7
262,1,3,0,3,4,2,31
263,0,1,0,52,1,1,79
264,0,1,0,40,0,0,0
265,0,3,1,30,0,0,7
266,0,2,0,36,0,0,10
267,0,3,0,16,4,1,39
268,1,3,0,25,1,0,7
269,1,1,1,58,0,1,153
270,1,1,1,35,0,0,135
271,0,1,0,30,0,0,31
272,1,3,0,25,0,0,0
273,1,2,1,41,0,1,19
274,0,1,0,37,0,1,29
275,1,3,1,30,0,0,7
276,1,1,1,63,1,0,77
277,0,3,1,45,0,0,7
278,0,2,0,30,0,0,0
279,0,3,0,7,4,1,29
280,1,3,1,35,1,1,20
281,0,3,0,65,0,0,7
282,0,3,0,28,0,0,7
283,0,3,0,16,0,0,9
284,1,3,0,19,0,0,8
285,0,1,0,30,0,0,26
286,0,3,0,33,0,0,8
287,1,3,0,30,0,0,9
288,0,3,0,22,0,0,7
289,1,2,0,42,0,0,13
290,1,3,1,22,0,0,7
291,1,1,1,26,0,0,78
292,1,1,1,19,1,0,91
293,0,2,0,36,0,0,12
294,0,3,1,24,0,0,8
295,0,3,0,24,0,0,7
296,0,1,0,30,0,0,27
297,0,3,0,23,0,0,7
298,0,1,1,2,1,2,151
299,1,1,0,30,0,0,30
300,1,1,1,50,0,1,247
301,1,3,1,30,0,0,7
302,1,3,0,30,2,0,23
303,0,3,0,19,0,0,0
304,1,2,1,30,0,0,12
305,0,3,0,30,0,0,8
306,1,1,0,0,1,2,151
307,1,1,1,30,0,0,110
308,1,1,1,17,1,0,108
309,0,2,0,30,1,0,24
310,1,1,1,30,0,0,56
311,1,1,1,24,0,0,83
312,1,1,1,18,2,2,262
313,0,2,1,26,1,1,26
314,0,3,0,28,0,0,7
315,0,2,0,43,1,1,26
316,1,3,1,26,0,0,7
317,1,2,1,24,1,0,26
318,0,2,0,54,0,0,14
319,1,1,1,31,0,2,164
320,1,1,1,40,1,1,134
321,0,3,0,22,0,0,7
322,0,3,0,27,0,0,7
323,1,2,1,30,0,0,12
324,1,2,1,22,1,1,29
325,0,3,0,30,8,2,69
326,1,1,1,36,0,0,135
327,0,3,0,61,0,0,6
328,1,2,1,36,0,0,13
329,1,3,1,31,1,1,20
330,1,1,1,16,0,1,57
331,1,3,1,30,2,0,23
332,0,1,0,45,0,0,28
333,0,1,0,38,0,1,153
334,0,3,0,16,2,0,18
335,1,1,1,30,1,0,133
336,0,3,0,30,0,0,7
337,0,1,0,29,1,0,66
338,1,1,1,41,0,0,134
339,1,3,0,45,0,0,8
340,0,1,0,45,0,0,35
341,1,2,0,2,1,1,26
342,1,1,1,24,3,2,263
343,0,2,0,28,0,0,13
344,0,2,0,25,0,0,13
345,0,2,0,36,0,0,13
346,1,2,1,24,0,0,13
347,1,2,1,40,0,0,13
348,1,3,1,30,1,0,16
349,1,3,0,3,1,1,15
350,0,3,0,42,0,0,8
351,0,3,0,23,0,0,9
352,0,1,0,30,0,0,35
353,0,3,0,15,1,1,7
354,0,3,0,25,1,0,17
355,0,3,0,30,0,0,7
356,0,3,0,28,0,0,9
357,1,1,1,22,0,1,55
358,0,2,1,38,0,0,13
359,1,3,1,30,0,0,7
360,1,3,1,30,0,0,7
361,0,3,0,40,1,4,27
362,0,2,0,29,1,0,27
363,0,3,1,45,0,1,14
364,0,3,0,35,0,0,7
365,0,3,0,30,1,0,15
366,0,3,0,30,0,0,7
367,1,1,1,60,1,0,75
368,1,3,1,30,0,0,7
369,1,3,1,30,0,0,7
370,1,1,1,24,0,0,69
371,1,1,0,25,1,0,55
372,0,3,0,18,1,0,6
373,0,3,0,19,0,0,8
374,0,1,0,22,0,0,135
375,0,3,1,3,3,1,21
376,1,1,1,30,1,0,82
377,1,3,1,22,0,0,7
378,0,1,0,27,0,2,211
379,0,3,0,20,0,0,4
380,0,3,0,19,0,0,7
381,1,1,1,42,0,0,227
382,1,3,1,1,0,2,15
383,0,3,0,32,0,0,7
384,1,1,1,35,1,0,52
385,0,3,0,30,0,0,7
386,0,2,0,18,0,0,73
387,0,3,0,1,5,2,46
388,1,2,1,36,0,0,13
389,0,3,0,30,0,0,7
390,1,2,1,17,0,0,12
391,1,1,0,36,1,2,120
392,1,3,0,21,0,0,7
393,0,3,0,28,2,0,7
394,1,1,1,23,1,0,113
395,1,3,1,24,0,2,16
396,0,3,0,22,0,0,7
397,0,3,1,31,0,0,7
398,0,2,0,46,0,0,26
399,0,2,0,23,0,0,10
400,1,2,1,28,0,0,12
401,1,3,0,39,0,0,7
402,0,3,0,26,0,0,8
403,0,3,1,21,1,0,9
404,0,3,0,28,1,0,15
405,0,3,1,20,0,0,8
406,0,2,0,34,1,0,21
407,0,3,0,51,0,0,7
408,1,2,0,3,1,1,18
409,0,3,0,21,0,0,7
410,0,3,1,30,3,1,25
411,0,3,0,30,0,0,7
412,0,3,0,30,0,0,6
413,1,1,1,33,1,0,90
414,0,2,0,30,0,0,0
415,1,3,0,44,0,0,7
416,0,3,1,30,0,0,8
417,1,2,1,34,1,1,32
418,1,2,1,18,0,2,13
419,0,2,0,30,0,0,13
420,0,3,1,10,0,2,24
421,0,3,0,30,0,0,7
422,0,3,0,21,0,0,7
423,0,3,0,29,0,0,7
424,0,3,1,28,1,1,14
425,0,3,0,18,1,1,20
426,0,3,0,30,0,0,7
427,1,2,1,28,1,0,26
428,1,2,1,19,0,0,26
429,0,3,0,30,0,0,7
430,1,3,0,32,0,0,8
431,1,1,0,28,0,0,26
432,1,3,1,30,1,0,16
433,1,2,1,42,1,0,26
434,0,3,0,17,0,0,7
435,0,1,0,50,1,0,55
436,1,1,1,14,1,2,120
437,0,3,1,21,2,2,34
438,1,2,1,24,2,3,18
439,0,1,0,64,1,4,263
440,0,2,0,31,0,0,10
441,1,2,1,45,1,1,26
442,0,3,0,20,0,0,9
443,0,3,0,25,1,0,7
444,1,2,1,28,0,0,13
445,1,3,0,30,0,0,8
446,1,1,0,4,0,2,81
447,1,2,1,13,0,1,19
448,1,1,0,34,0,0,26
449,1,3,1,5,2,1,19
450,1,1,0,52,0,0,30
451,0,2,0,36,1,2,27
452,0,3,0,30,1,0,19
453,0,1,0,30,0,0,27
454,1,1,0,49,1,0,89
455,0,3,0,30,0,0,8
456,1,3,0,29,0,0,7
457,0,1,0,65,0,0,26
458,1,1,1,30,1,0,51
459,1,2,1,50,0,0,10
460,0,3,0,30,0,0,7
461,1,1,0,48,0,0,26
462,0,3,0,34,0,0,8
463,0,1,0,47,0,0,38
464,0,2,0,48,0,0,13
465,0,3,0,30,0,0,8
466,0,3,0,38,0,0,7
467,0,2,0,30,0,0,0
468,0,1,0,56,0,0,26
469,0,3,0,30,0,0,7
470,1,3,1,0,2,1,19
471,0,3,0,30,0,0,7
472,0,3,0,38,0,0,8
473,1,2,1,33,1,2,27
474,1,2,1,23,0,0,13
475,0,3,1,22,0,0,9
476,0,1,0,30,0,0,52
477,0,2,0,34,1,0,21
478,0,3,0,29,1,0,7
479,0,3,0,22,0,0,7
480,1,3,1,2,0,1,12
481,0,3,0,9,5,2,46
482,0,2,0,30,0,0,0
483,0,3,0,50,0,0,8
484,1,3,1,63,0,0,9
485,1,1,0,25,1,0,91
486,0,3,1,30,3,1,25
487,1,1,1,35,1,0,90
488,0,1,0,58,0,0,29
489,0,3,0,30,0,0,8
490,1,3,0,9,1,1,15
491,0,3,0,30,1,0,19
492,0,3,0,21,0,0,7
493,0,1,0,55,0,0,30
494,0,1,0,71,0,0,49
495,0,3,0,21,0,0,8
496,0,3,0,30,0,0,14
497,1,1,1,54,1,0,78
498,0,3,0,30,0,0,15
499,0,1,1,25,1,2,151
500,0,3,0,24,0,0,7
501,0,3,0,17,0,0,8
502,0,3,1,21,0,0,7
503,0,3,1,30,0,0,7
504,0,3,1,37,0,0,9
505,1,1,1,16,0,0,86
506,0,1,0,18,1,0,108
507,1,2,1,33,0,2,26
508,1,1,0,30,0,0,26
509,0,3,0,28,0,0,22
510,1,3,0,26,0,0,56
511,1,3,0,29,0,0,7
512,0,3,0,30,0,0,8
513,1,1,0,36,0,0,26
514,1,1,1,54,1,0,59
515,0,3,0,24,0,0,7
516,0,1,0,47,0,0,34
517,1,2,1,34,0,0,10
518,0,3,0,30,0,0,24
519,1,2,1,36,1,0,26
520,0,3,0,32,0,0,7
521,1,1,1,30,0,0,93
522,0,3,0,22,0,0,7
523,0,3,0,30,0,0,7
524,1,1,1,44,0,1,57
525,0,3,0,30,0,0,7
526,0,3,0,40,0,0,7
527,1,2,1,50,0,0,10
528,0,1,0,30,0,0,221
529,0,3,0,39,0,0,7
530,0,2,0,23,2,1,11
531,1,2,1,2,1,1,26
532,0,3,0,30,0,0,7
533,0,3,0,17,1,1,7
534,1,3,1,30,0,2,22
535,0,3,1,30,0,0,8
536,1,2,1,7,0,2,26
537,0,1,0,45,0,0,26
538,1,1,1,30,0,0,106
539,0,3,0,30,0,0,14
540,1,1,1,22,0,2,49
541,1,1,1,36,0,2,71
542,0,3,1,9,4,2,31
543,0,3,1,11,4,2,31
544,1,2,0,32,1,0,26
545,0,1,0,50,1,0,106
546,0,1,0,64,0,0,26
547,1,2,1,19,1,0,26
548,1,2,0,30,0,0,13
549,0,3,0,33,1,1,20
550,1,2,0,8,1,1,36
551,1,1,0,17,0,2,110
552,0,2,0,27,0,0,26
553,0,3,0,30,0,0,7
554,1,3,0,22,0,0,7
555,1,3,1,22,0,0,7
556,0,1,0,62,0,0,26
557,1,1,1,48,1,0,39
558,0,1,0,30,0,0,227
559,1,1,1,39,1,1,79
560,1,3,1,36,1,0,17
561,0,3,0,30,0,0,7
562,0,3,0,40,0,0,7
563,0,2,0,28,0,0,13
564,0,3,0,30,0,0,8
565,0,3,1,30,0,0,8
566,0,3,0,24,2,0,24
567,0,3,0,19,0,0,7
568,0,3,1,29,0,4,21
569,0,3,0,30,0,0,7
570,1,3,0,32,0,0,7
571,1,2,0,62,0,0,10
572,1,1,1,53,2,0,51
573,1,1,0,36,0,0,26
574,1,3,1,30,0,0,7
575,0,3,0,16,0,0,8
576,0,3,0,19,0,0,14
577,1,2,1,34,0,0,13
578,1,1,1,39,1,0,55
579,0,3,1,30,1,0,14
580,1,3,0,32,0,0,7
581,1,2,1,25,1,1,30
582,1,1,1,39,1,1,110
583,0,2,0,54,0,0,26
584,0,1,0,36,0,0,40
585,0,3,0,30,0,0,8
586,1,1,1,18,0,2,79
587,0,2,0,47,0,0,15
588,1,1,0,60,1,1,79
589,0,3,0,22,0,0,8
590,0,3,0,30,0,0,8
591,0,3,0,35,0,0,7
592,1,1,1,52,1,0,78
593,0,3,0,47,0,0,7
594,0,3,1,30,0,2,7
595,0,2,0,37,1,0,26
596,0,3,0,36,1,1,24
597,1,2,1,30,0,0,33
598,0,3,0,49,0,0,0
599,0,3,0,30,0,0,7
600,1,1,0,49,1,0,56
601,1,2,1,24,2,1,27
602,0,3,0,30,0,0,7
603,0,1,0,30,0,0,42
604,0,3,0,44,0,0,8
605,1,1,0,35,0,0,26
606,0,3,0,36,1,0,15
607,0,3,0,30,0,0,7
608,1,1,0,27,0,0,30
609,1,2,1,22,1,2,41
610,1,1,1,40,0,0,153
611,0,3,1,39,1,5,31
612,0,3,0,30,0,0,7
613,1,3,1,30,1,0,15
614,0,3,0,30,0,0,7
615,0,3,0,35,0,0,8
616,1,2,1,24,1,2,65
617,0,3,0,34,1,1,14
618,0,3,1,26,1,0,16
619,1,2,1,4,2,1,39
620,0,2,0,26,0,0,10
621,0,3,0,27,1,0,14
622,1,1,0,42,1,0,52
623,1,3,0,20,1,1,15
624,0,3,0,21,0,0,7
625,0,3,0,21,0,0,16
626,0,1,0,61,0,0,32
627,0,2,0,57,0,0,12
628,1,1,1,21,0,0,77
629,0,3,0,26,0,0,7
630,0,3,0,30,0,0,7
631,1,1,0,80,0,0,30
632,0,3,0,51,0,0,7
633,1,1,0,32,0,0,30
634,0,1,0,30,0,0,0
635,0,3,1,9,3,2,27
636,1,2,1,28,0,0,13
637,0,3,0,32,0,0,7
638,0,2,0,31,1,1,26
639,0,3,1,41,0,5,39
640,0,3,0,30,1,0,16
641,0,3,0,20,0,0,7
642,1,1,1,24,0,0,69
643,0,3,1,2,3,2,27
644,1,3,0,30,0,0,56
645,1,3,1,0,2,1,19
646,1,1,0,48,1,0,76
647,0,3,0,19,0,0,7
648,1,1,0,56,0,0,35
649,0,3,0,30,0,0,7
650,1,3,1,23,0,0,7
651,0,3,0,30,0,0,7
652,1,2,1,18,0,1,23
653,0,3,0,21,0,0,8
654,1,3,1,30,0,0,7
655,0,3,1,18,0,0,6
656,0,2,0,24,2,0,73
657,0,3,0,30,0,0,7
658,0,3,1,32,1,1,15
659,0,2,0,23,0,0,13
660,0,1,0,58,0,2,113
661,1,1,0,50,2,0,133
662,0,3,0,40,0,0,7
663,0,1,0,47,0,0,25
664,0,3,0,36,0,0,7
665,1,3,0,20,1,0,7
666,0,2,0,32,2,0,73
667,0,2,0,25,0,0,13
668,0,3,0,30,0,0,7
669,0,3,0,43,0,0,8
670,1,1,1,30,1,0,52
671,1,2,1,40,1,1,39
672,0,1,0,31,1,0,52
673,0,2,0,70,0,0,10
674,1,2,0,31,0,0,13
675,0,2,0,30,0,0,0
676,0,3,0,18,0,0,7
677,0,3,0,24,0,0,8
678,1,3,1,18,0,0,9
679,0,3,1,43,1,6,46
680,1,1,0,36,0,1,512
681,0,3,1,30,0,0,8
682,1,1,0,27,0,0,76
683,0,3,0,20,0,0,9
684,0,3,0,14,5,2,46
685,0,2,0,60,1,1,39
686,0,2,0,25,1,2,41
687,0,3,0,14,4,1,39
688,0,3,0,19,0,0,10
689,0,3,0,18,0,0,7
690,1,1,1,15,0,1,211
691,1,1,0,31,1,0,57
692,1,3,1,4,0,1,13
693,1,3,0,30,0,0,56
694,0,3,0,25,0,0,7
695,0,1,0,60,0,0,26
696,0,2,0,52,0,0,13
697,0,3,0,44,0,0,8
698,1,3,1,30,0,0,7
699,0,1,0,49,1,1,110
700,0,3,0,42,0,0,7
701,1,1,1,18,1,0,227
702,1,1,0,35,0,0,26
703,0,3,1,18,0,1,14
704,0,3,0,25,0,0,7
705,0,3,0,26,1,0,7
706,0,2,0,39,0,0,26
707,1,2,1,45,0,0,13
708,1,1,0,42,0,0,26
709,1,1,1,22,0,0,151
710,1,3,0,30,1,1,15
711,1,1,1,24,0,0,49
712,0,1,0,30,0,0,26
713,1,1,0,48,1,0,52
714,0,3,0,29,0,0,9
715,0,2,0,52,0,0,13
716,0,3,0,19,0,0,7
717,1,1,1,38,0,0,227
718,1,2,1,27,0,0,10
719,0,3,0,30,0,0,15
720,0,3,0,33,0,0,7
721,1,2,1,6,0,1,33
722,0,3,0,17,1,0,7
723,0,2,0,34,0,0,13
724,0,2,0,50,0,0,13
725,1,1,0,27,1,0,53
726,0,3,0,20,0,0,8
727,1,2,1,30,3,0,21
728,1,3,1,30,0,0,7
729,0,2,0,25,1,0,26
730,0,3,1,25,1,0,7
731,1,1,1,29,0,0,211
732,0,3,0,11,0,0,18
733,0,2,0,30,0,0,0
734,0,2,0,23,0,0,13
735,0,2,0,23,0,0,13
736,0,3,0,28,0,0,16
737,0,3,1,48,1,3,34
738,1,1,0,35,0,0,512
739,0,3,0,30,0,0,7
740,0,3,0,30,0,0,7
741,1,1,0,30,0,0,30
742,0,1,0,36,1,0,78
743,1,1,1,21,2,2,262
744,0,3,0,24,1,0,16
745,1,3,0,31,0,0,7
746,0,1,0,70,1,1,71
747,0,3,0,16,1,1,20
748,1,2,1,30,0,0,13
749,0,1,0,19,1,0,53
750,0,3,0,31,0,0,7
751,1,2,1,4,1,1,23
752,1,3,0,6,0,1,12
753,0,3,0,33,0,0,9
754,0,3,0,23,0,0,7
755,1,2,1,48,1,2,65
756,1,2,0,0,1,1,14
757,0,3,0,28,0,0,7
758,0,2,0,18,0,0,11
759,0,3,0,34,0,0,8
760,1,1,1,33,0,0,86
761,0,3,0,30,0,0,14
762,0,3,0,41,0,0,7
763,1,3,0,20,0,0,7
764,1,1,1,36,1,2,120
765,0,3,0,16,0,0,7
766,1,1,1,51,1,0,77
767,0,1,0,30,0,0,39
768,0,3,1,30,0,0,7
769,0,3,0,30,1,0,24
770,0,3,0,32,0,0,8
771,0,3,0,24,0,0,9
772,0,3,0,48,0,0,7
773,0,2,1,57,0,0,10
774,0,3,0,30,0,0,7
775,1,2,1,54,1,3,23
776,0,3,0,18,0,0,7
777,0,3,0,30,0,0,7
778,1,3,1,5,0,0,12
779,0,3,0,30,0,0,7
780,1,1,1,43,0,1,211
781,1,3,1,13,0,0,7
782,1,1,1,17,1,0,57
783,0,1,0,29,0,0,30
784,0,3,0,30,1,2,23
785,0,3,0,25,0,0,7
786,0,3,0,25,0,0,7
787,1,3,1,18,0,0,7
788,0,3,0,8,4,1,29
789,1,3,0,1,1,2,20
790,0,1,0,46,0,0,79
791,0,3,0,30,0,0,7
792,0,2,0,16,0,0,26
793,0,3,1,30,8,2,69
794,0,1,0,30,0,0,30
795,0,3,0,25,0,0,7
796,0,2,0,39,0,0,13
797,1,1,1,49,0,0,25
798,1,3,1,31,0,0,8
799,0,3,0,30,0,0,7
800,0,3,1,30,1,1,24
801,0,2,0,34,0,0,13
802,1,2,1,31,1,1,26
803,1,1,0,11,1,2,120
804,1,3,0,0,0,1,8
805,1,3,0,27,0,0,6
806,0,3,0,31,0,0,7
807,0,1,0,39,0,0,0
808,0,3,1,18,0,0,7
809,0,2,0,39,0,0,13
810,1,1,1,33,1,0,53
811,0,3,0,26,0,0,7
812,0,3,0,39,0,0,24
813,0,2,0,35,0,0,10
814,0,3,1,6,4,2,31
815,0,3,0,30,0,0,8
816,0,1,0,30,0,0,0
817,0,3,1,23,0,0,7
818,0,2,0,31,1,1,37
819,0,3,0,43,0,0,6
820,0,3,0,10,3,2,27
821,1,1,1,52,1,1,93
822,1,3,0,27,0,0,8
823,0,1,0,38,0,0,0
824,1,3,1,27,0,1,12
825,0,3,0,2,4,1,39
826,0,3,0,30,0,0,6
827,0,3,0,30,0,0,56
828,1,2,0,1,0,2,37
829,1,3,0,30,0,0,7
830,1,1,1,62,0,0,80
831,1,3,1,15,1,0,14
832,1,2,0,0,1,1,18
833,0,3,0,30,0,0,7
834,0,3,0,23,0,0,7
835,0,3,0,18,0,0,8
836,1,1,1,39,1,1,83
837,0,3,0,21,0,0,8
838,0,3,0,30,0,0,8
839,1,3,0,32,0,0,56
840,1,1,0,30,0,0,29
841,0,3,0,20,0,0,7
842,0,2,0,16,0,0,10
843,1,1,1,30,0,0,31
844,0,3,0,34,0,0,6
845,0,3,0,17,0,0,8
846,0,3,0,42,0,0,7
847,0,3,0,30,8,2,69
848,0,3,0,35,0,0,7
849,0,2,0,28,0,1,33
850,1,1,1,30,1,0,89
851,0,3,0,4,4,2,31
852,0,3,0,74,0,0,7
853,0,3,1,9,1,1,15
854,1,1,1,16,0,1,39
855,0,2,1,44,1,0,26
856,1,3,1,18,0,1,9
857,1,1,1,45,1,1,164
858,1,1,0,51,0,0,26
859,1,3,1,24,0,3,19
860,0,3,0,30,0,0,7
861,0,3,0,41,2,0,14
862,0,2,0,21,1,0,11
863,1,1,1,48,0,0,25
864,0,3,1,30,8,2,69
865,0,2,0,24,0,0,13
866,1,2,1,42,0,0,13
867,1,2,1,27,1,0,13
868,0,1,0,31,0,0,50
869,0,3,0,30,0,0,9
870,1,3,0,4,1,1,11
871,0,3,0,26,0,0,7
